案例标题,案例编号,公司,DOI,学科,行业,案例来源,案例类型,适用对象,出版时间,第一作者,其他作者,语种,关键字,案例标签,文章页数,教参页数,案例摘要
当Z世代成为“猫奴”：小佩如何破局创新与商业化的两难,FDC-25043-1X-CC,小佩网络科技（上海）有限公司,doi.org/10.12156/FUDAN.CASE202504101,市场营销,互联网/信息/通讯,复旦大学管理学院,标准案例,"本科生,MBA,EMBA",2025-10-30,殷云露,王啸林,中文,智能宠物用品；用户需求导向；技术商业化平衡；渠道布局,科创,13,21,随着Z世代成为养宠主力，宠物角色从“动物性工具”转变为“家庭成员”，推动宠物经济向智能化、精细化发展。随着竞争的加剧，作为中国乃至全球知名的宠物智能用品品牌，小佩（PETKIT）面临多重挑战：如何在有限资源下平衡前沿技术投入（如AI健康诊断）与商业化效率？面对巨头价格挤压，如何避免陷入同质化竞争？品牌认知仍较分散，如何从功能消费转向情感价值认同？出海过程中，直营与代理模式如何取舍？ 
咕哈音乐：如何让人学习“上瘾”？,FDC-25044-1X-CC,湖南咕哈音乐有限公司,doi.org/10.12156/FUDAN.CASE202504201,市场营销,艺术/娱乐/体育/休闲,复旦大学管理学院,标准案例,"本科生,MBA,EMBA",2025-11-10,余伊琦,王啸林 ,中文,成年人音乐培训；顾客忠诚计划；服务营销；动机和激励,,13,25,"咕哈音乐专注成人音乐培训市场。针对目标人群时间碎片化、追求快速反馈但续费率低的痛点，创始人杨杨提出""让音乐学习成为令人上瘾的生活方式""的定位，通过创新""1+N""模式吸引学员加入音乐学习当中。但如何通过产品和服务的设计提高顾客忠诚度，是该公司面临的难题。"
牧鲸集团：一个“对钱不感兴趣”的广告商,FDC-25033-1X-CC,牧鲸集团,doi.org/10.12156/FUDAN.CASE202503301,市场营销,其他,复旦大学管理学院,标准案例,"本科生,MBA,EMBA",2025-08-07,房桢,王啸林,中文,商业模式创新；易货交易；广告产业链；平台型企业,中国式现代化,15,20,牧鲸集团通过“实体货品置换媒体服务”的创新易货模式，构建了超十万平方LED媒体资源网络，年结算货值逾10亿人民币。2025年，牧鲸拓展了本地生活业务，利用广告资源为本地商户提供精准营销服务，并探索更多变现渠道。由于两类广告渠道的显著差异和对运营能力的不同要求，创始人缪安勤站在2025年的十字路口，他必须回答一个战略选择题：牧鲸应坚守户外大屏核心战场，还是全力押注本地生活？
蓝色光标：从传统营销巨头到AI创新先锋,FDC-25031-1X-CC,蓝色光标集团,doi.org/10.12156/FUDAN.CASE202503101,信息技术,专业/科学/技术服务,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2025-07-24,凌鸿 ,王兴炜，邱肃川，原瑞霞,中文,AI转型；智能营销；组织变革,"科创,数字中国",18,18,随着AI 大模型的兴起，蓝色光标在2023年决定启动“All in AI”战略，同时全面停止创意设计、方案撰写、文案撰写、短期雇员外包等传统业务。本案例详细阐述了蓝色光标从传统营销向AI创新转型的历程，包括其业务布局、在AI领域的探索实践、组织架构调整以及未来战略规划。
贵州村超：探索西部县域乡村振兴的创新样本,FDC-25032-1X-CC,贵州省榕江县,doi.org/10.12156/FUDAN.CASE202503201,经济,公用事业,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2025-08-07,姚志勇,李敏，张洁友，沈梦媛,中文,村超；IP；乡村振兴；经济增长；制度创新；政府与市场；可持续发展,中国式现代化,16,27,2023年，贵州省榕江县的一项民间足球比赛——“贵州村超”经互联网传播后迅速出圈，吸引全国大量游客涌入榕江县观看赛事，带动了当地旅游和相关产业的发展。作为全国最后一批脱贫县和首批乡村振兴重点帮扶县，榕江县政府希望通过打造“村超”IP，探索中国式现代化和高质量发展的西部县域样本。在新媒体流量的潮起潮落中，“贵州村超”会不会成为又一个昙花一现的文旅现象呢？
 诺达医疗器械公司和苏红渝的创业领导力,FDC-25028-1X-CC ,重庆诺达医疗器械股份有限公司,,创新创业,生物技术/大健康,复旦大学管理学院,标准案例,"本科生,MBA,EMBA,高层管理",2025-07-11,马胜辉,陈扬波,中文,创业管理，创业领导力，战略转型,科创,13,17,诺达医疗在创始人苏红渝的带领下经历两次重大转型，相继布局医疗冷链物流服务和医疗器械生产研发，从医疗器械代理商逐渐发展成为年利润超过5000万元的科技型企业。随着公司规模扩大和研发深入，她的创业领导力也随之变化。
扩博智能：科创企业的激励与管理,FDC-25030-1X-CC,上海扩博智能技术有限公司,doi.org/10.12156/FUDAN.CASE202503001,组织行为,专业/科学/技术服务,复旦大学管理学院,标准案例,"本科生,MBA",2025-07-15,陈星汶,唐跃军，张春依，王啸林，张佳怡,中文,扩博智能，科创企业，激励，跨部门协作,科创,14,20,扩博智能的核心业务是依托AI和机器视觉技术，对新能源风机故障、零售业货架进行自动识别与验证，为客户提供精准的风机维修和营销服务。作为一家初创期的科技型企业，扩博智能人员精简、目标管理透明、激励定制化，团队之间协作高效。在为技术拓展海内外市场的过程中，团队规模势必扩大，以往的这些组织管理方法还会行之有效吗？
小马智行：从技术优势到商业优势,FDC-25029-1X-CC,广州小马智行科技有限公司,doi.org/10.12156/FUDAN.CASE202502901,信息技术,新一代信息技术,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2025-07-11,李文文,卢向华，戴溪，张洁友,中文,自动驾驶；技术创新；商业化；规模化,科创,13,18,小马智行是中国领先的自动驾驶解决方案提供商，拥有自动驾驶出租车、无人驾驶货运车、乘用车智能驾驶三大核心业务，并形成两类商业模式：一是通过自建出行平台为C端用户提供自动驾驶出租车服务；二是为出行平台、乘用车企、物流公司提供自动驾驶技术解决方案。小马智行应该如何发挥技术优势，快速实现规模化的商业应用？
深库科技：初创企业的复合型人才团队建设,FDC-25022-1X-CC,上海深库信息科技有限公司,doi.org/10.12156/FUDAN.CASE202502201,人力资源,新一代信息技术,复旦大学管理学院,标准案例,"本科生,MBA,EMBA",2025-06-17,徐笑君,顾思芸，何睿文，王啸林 ,中文,"初创企业,复合型人才,人才盘点,人才梯队,培养体系",科创,10,15,深库科技是一家在传统工业生产领域提供质检、安防等解决方案的创业公司，“人工智能+机器视觉”是其核心竞争力。为了更好地赋能客户，创始人谢文远希望建立一支既精通AI技术又深谙工业制造场景的复合型人才团队。然而，深库科技现有的内部培养方式难以匹配快速发展的业务需求和技术迭代速度，公司亟待构建系统的人才培养体系以支持企业的持续发展。
新石器无人车的市场开拓抉择,FDC-25027-1X-CC,新石器慧通（北京）科技有限公司,doi.org/10.12156/FUDAN.CASE202502701,战略,交通/物流/仓储,复旦大学管理学院,标准案例,"本科生,MBA,其他研究生",2025-07-08,张杏,陈扬波,中文,"无人车,市场开拓,技术采用,颠覆式创新",科创,15,15,新石器是一家面向快递物流行业提供无人车运输服务的初创公司。依靠早期的技术创新和积累，新石器和顺丰快递公司合作，打开了物流无人车市场。新石器正面临一个关键选择：是继续绑定顺丰，进一步挖掘快递行业潜在市场；还是通过降低运营成本，横向拓展至其他快递物流企业，并向下延伸至中低端市场，实现规模化发展？ 
万邦医药的组织变革,FDC-25026-1X-CC,安徽万邦医药科技股份有限公司,doi.org/10.12156/FUDAN.CASE202502601,人力资源,生物技术/大健康,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2025-07-10,吴冬媛,余光胜，李毓彤，张洁友,中文,员工激励，组织变革，战略转型，平台化,科创,17,14,万邦医药是一家为药企提供药学研究和临床研究服务的CRO企业。在经历两次行业震荡和一次内部组织变革后，公司获得快速发展，于2023年在深交所创业板上市。创始人陶春蕾希望借助上市机遇，引进人才，激活组织，推动企业从传统CRO业务向大健康方向转型。万邦医药应该如何打造与战略转型相适配的组织？
从会种地到“慧”种地：左岸芯慧的农业数字化转型之路,FDC-25023-1X-CC,上海左岸芯慧电子科技有限公司,doi.org/10.12156/FUDAN.CASE202502301,信息技术,新一代信息技术,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2025-06-17,顾洁,凌鸿,中文,"物联网,数字化,农业数字化转型",数字中国,18,17,左岸芯慧是一家数字农业科技企业，历经十余年发展，通过布局物联网设备、开发管理软件和搭建数字化平台，构建了涵盖种植、环境、农资、农技、金融的全维度数字农业体系。该实践入选为中国农业农村部智慧农业建设优秀案例。左岸芯慧如何从一家小型传感器公司一步步实现转型，最终成为区域数字农业的创导者？这背后又体现了怎样的数字化转型发展逻辑？
杜邦中国：持续创新, FDC-25024-1X-CC,杜邦（中国）研发管理有限公司,doi.org/10.12156/FUDAN.CASE202502401,组织行为,新材料,复旦大学管理学院,标准案例,"本科生,MBA,EMBA",2025-06-17,吴冬媛,彭贺，李梓妍，张春依，王啸林,中文,"创新管理,本土化,竞争力与持续创新,组织结构与变革管理",科创,17,21,杜邦公司自1988年正式进入中国市场以来，业务模式经历了从产品销售到本地解决方案的转型。面对全球经济降速、基础创新减缓的挑战，以及中国市场的高速竞争和技术需求的高度定制化趋势，杜邦中国该如何提升本土研发能力，以实现可持续增长？
特来电：做国内领先的充电网生态运营商,FDC-25019-1X-CC,特来电新能源股份有限公司,doi.org/10.12156/FUDAN.CASE202501901,经济,新能源,复旦大学管理学院,标准案例,"MBA,EMBA",2025-06-13,伏啸,骆品亮，戴溪，张洁友,中文,数字化，充电网络，商业模式创新，生态构建,"科创,数字中国",16,15,特来电是国内新能源充电市场的头部企业。从早期重资产投入自营充电站到引入“加盟+平台化”模式，该公司正从单一的充电桩建设向综合充电网络服务转型。短期内，特来电希望聚焦电动汽车充电需求。伴随新能源汽车行业的大规模发展，充电运营带来的海量数据可望成为重要资产。在充电运营和数据增值业务之间，特来电该如何构建国内领先的充电网生态？
C&C西装定制的创业之路,FDC-25020-1X-CC,苏州墨昀有限公司,doi.org/10.12156/FUDAN.CASE202502001,创新创业,制造,复旦大学管理学院,标准案例,"本科生,MBA",2025-06-13,陈星汶,"李严婧,陈露娜",中文,竞争战略，品牌定位，客户管理，创业者特质,,14,20,C&C是一家高级西装定制品牌，具有客单价高、一对一个性化服务的特点。公司创始人陈国武是一名手艺专精的裁缝，他在C&C应该坚持小而美还是走向规模化扩张的选择中十分困惑：是基于现有的高级定制西装产品拓展新客户，还是基于现有客户需求扩大产品服务组合，抑或寻求第三条路径？
合合信息：从数据资源入表到价值实现,FDC-25021-1X-CC,上海合合信息科技股份有限公司,doi.org/10.12156/FUDAN.CASE202502101,会计,新一代信息技术,复旦大学管理学院,标准案例,"本科生,MBA,其他研究生",2025-06-13,朱振梅,黄蓉，陶长风，韩若琦，王啸林,中文,数据资产入表，会计处理，数据资产管理,"科创,数字中国",14,22,合合信息是一家专注于人工智能及大数据领域提供智能文字识别和商业大数据服务的领军企业。2024年，合合信息率先启动了数据资源入表的管理实践，依托数据收集、处理到产品应用的全链条业务布局，构建起完整的数据资产化闭环体系，为同行提供了借鉴。
金融科技助力乡村振兴——丽水松阳茶商E贷,FDC-25025-1X-CC,中国银行松阳支行,doi.org/10.12156/FUDAN.CASE202502501,金融与财务,金融/保险,复旦大学管理学院,标准案例,"本科生,其他研究生",2025-04-11,张娜,田穗,中文,"乡村振兴,金融科技,银行信贷,区块链,信息共享,违约预测","中国式现代化,数字中国",17,16,中国银行丽水松阳支行在2019年利用区块链技术推出的“茶商E贷”产品，借助区块链技术记录评估当地茶商的交易信息，由此作为授信依据发放贷款，帮助规模小、发展不稳定的茶商顺利度过资金周转期。但由于银行不直接服务茶农，数据信息少且没有交叉验证。如何解决乡村信用信息的收集，构建更完善的授信评价体系并做好乡村金融的贷后管理，是该行正面临的一大难题。
好特卖：不只是临期特卖,FDC-25017-1X-CC,好特卖,doi.org/10.12156/FUDAN.CASE202501701,市场营销,贸易/批发/零售,复旦大学管理学院,标准案例,"本科生,MBA,EMBA,其他研究生,高层管理",2025-06-10,徐倩,王玉洁,中文,好特卖，临期尾货，价值链,数字中国,18,13,2024年10月底，中国最大的品牌特卖连锁店好特卖对外宣布，正式启动”新品试卖”项目。这个决定让许多人感到意外：作为一家主营临期商品的零售企业，为何要进军与“临期”完全相反的“新品”市场？好特卖又该如何如何平衡新品与尾货的关系？
威富集团：数字化转型背景下的GTM策略,FDC-23018-1X-CC,威富集团, doi.org/10.12156/FUDAN.CASE202301801,市场营销,贸易/批发/零售,复旦大学管理学院,标准案例,"本科生,MBA,高层管理",2025-05-09,刘圣明,"王艺蓉,李严婧",中文,"数字化转型,GTM,营销策略",数字中国,14,11,威富集团是拥有The North Face、Timberland 、Dickies 等12个服装子品牌、经营1300余家零售店铺的全球最大的服装集团之一。以消费者为中心的GTM（Go to Market）策略是威富集团进行数字化转型的重要战略，但如何协同内部数字化团队力量和外部团队资源，是该公司在实施这一战略时面临的挑战。
